sourceCode,nameTh,nameEn
00723,มหาวิทยาลัยรามคำแหง สาขาวิทยบริการเฉลิมพระเกียรติจังหวัดอุดรธานี,"Ramkhamhaeng University — Academic Services Branch, Udon Thani (00723)"
00724,มหาวิทยาลัยรามคำแหง สาขาวิทยบริการเฉลิมพระเกียรติจังหวัดอุทัยธานี,"Ramkhamhaeng University — Academic Services Branch, Uthai Thani (00724)"
00800,มหาวิทยาลัยศิลปากร,Silpakorn University
00801,มหาวิทยาลัยศิลปากร วิทยาเขตพระราชวังสนามจันทร์,"Silpakorn University — Campus, Nakhon Pathom (00801)"
00802,มหาวิทยาลัยศิลปากร วิทยาเขตสารสนเทศเพชรบุรี,"Silpakorn University — Campus, Phetchaburi (00802)"
00803,มหาวิทยาลัยศิลปากร วิทยาเขตเมืองทองธานี,"Silpakorn University — Campus, Nonthaburi (00803)"
00900,มหาวิทยาลัยศรีนครินทรวิโรฒ,Srinakharinwirot University
00901,มหาวิทยาลัยศรีนครินทรวิโรฒ องครักษ์,"Srinakharinwirot University — Campus, Nakhon Nayok (00901)"
01000,มหาวิทยาลัยสงขลานครินทร์,Prince of Songkla University
01001,มหาวิทยาลัยสงขลานครินทร์ วิทยาเขตภูเก็ต,"Prince of Songkla University — Campus, Phuket (01001)"
01002,มหาวิทยาลัยสงขลานครินทร์ วิทยาเขตสุราษฎร์ธานี,"Prince of Songkla University — Campus, Surat Thani (01002)"
01003,มหาวิทยาลัยสงขลานครินทร์ วิทยาเขตปัตตานี,"Prince of Songkla University — Campus, Pattani (01003)"
01004,มหาวิทยาลัยสงขลานครินทร์ วิทยาเขตตรัง,"Prince of Songkla University — Campus, Trang (01004)"
01100,มหาวิทยาลัยสุโขทัยธรรมาธิราช,Sukhothai Thammathirat Open University
01101,มหาวิทยาลัยสุโขทัยธรรมาธิราช (ศูนย์วิทยบริการและชุมชนสัมพันธ์ มสธ. นนทบุรี),"Sukhothai Thammathirat Open University — Education Center, Nonthaburi (01101)"
01102,มหาวิทยาลัยสุโขทัยธรรมาธิราช (ศูนย์วิทยบริการและชุมชนสัมพันธ์ มสธ. ลำปาง),"Sukhothai Thammathirat Open University — Education Center, Lampang (01102)"
01103,มหาวิทยาลัยสุโขทัยธรรมาธิราช (ศูนย์วิทยบริการและชุมชนสัมพันธ์ มสธ. สุโขทัย),"Sukhothai Thammathirat Open University — Education Center, Sukhothai (01103)"
01104,มหาวิทยาลัยสุโขทัยธรรมาธิราช (ศูนย์วิทยบริการและชุมชนสัมพันธ์ มสธ. นครสวรรค์),"Sukhothai Thammathirat Open University — Education Center, Nakhon Sawan (01104)"
01105,มหาวิทยาลัยสุโขทัยธรรมาธิราช (ศูนย์วิทยบริการและชุมชนสัมพันธ์ มสธ. อุดรธานี),"Sukhothai Thammathirat Open University — Education Center, Udon Thani (01105)"
01106,มหาวิทยาลัยสุโขทัยธรรมาธิราช (ศูนย์วิทยบริการและชุมชนสัมพันธ์ มสธ. อุบลราชธานี),"Sukhothai Thammathirat Open University — Education Center, Ubon Ratchathani (01106)"
01107,มหาวิทยาลัยสุโขทัยธรรมาธิราช (ศูนย์วิทยบริการและชุมชนสัมพันธ์ มสธ. นครนายก),"Sukhothai Thammathirat Open University — Education Center, Nakhon Nayok (01107)"
01108,มหาวิทยาลัยสุโขทัยธรรมาธิราช (ศูนย์วิทยบริการและชุมชนสัมพันธ์ มสธ. เพชรบุรี),"Sukhothai Thammathirat Open University — Education Center, Phetchaburi (01108)"
01109,มหาวิทยาลัยสุโขทัยธรรมาธิราช (ศูนย์วิทยบริการและชุมชนสัมพันธ์ มสธ. จันทบุรี),"Sukhothai Thammathirat Open University — Education Center, Chanthaburi (01109)"
01110,มหาวิทยาลัยสุโขทัยธรรมาธิราช (ศูนย์วิทยบริการและชุมชนสัมพันธ์ มสธ. นครศรีธรรมราช),"Sukhothai Thammathirat Open University — Education Center, Nakhon Si Thammarat (01110)"
01111,มหาวิทยาลัยสุโขทัยธรรมาธิราช (ศูนย์วิทยบริการและชุมชนสัมพันธ์ มสธ. ยะลา),"Sukhothai Thammathirat Open University — Education Center, Yala (01111)"
01200,สถาบันบัณฑิตพัฒนบริหารศาสตร์,National Institute of Development Administration
01201,สถาบันบัณฑิตพัฒนบริหารศาสตร์ วิทยาเขตชลบุรี,"National Institute of Development Administration — Campus, Chon Buri (01201)"
01202,สถาบันบัณฑิตพัฒนบริหารศาสตร์ วิทยาเขตนครราชสีมา,"National Institute of Development Administration — Campus, Nakhon Ratchasima (01202)"
01203,สถาบันบัณฑิตพัฒนบริหารศาสตร์ วิทยาเขตอุบลราชธานี,"National Institute of Development Administration — Campus, Ubon Ratchathani (01203)"
01204,สถาบันบัณฑิตพัฒนบริหารศาสตร์ วิทยาเขตอุดรธานี,"National Institute of Development Administration — Campus, Udon Thani (01204)"
01205,สถาบันบัณฑิตพัฒนบริหารศาสตร์ วิทยาเขตลำพูน,"National Institute of Development Administration — Campus, Lamphun (01205)"
01206,สถาบันบัณฑิตพัฒนบริหารศาสตร์ วิทยาเขตเชียงราย,"National Institute of Development Administration — Campus, Chiang Rai (01206)"
01207,สถาบันบัณฑิตพัฒนบริหารศาสตร์ วิทยาเขตพิษณุโลก,"National Institute of Development Administration — Campus, Phitsanulok (01207)"
01208,สถาบันบัณฑิตพัฒนบริหารศาสตร์ วิทยาเขตภูเก็ต,"National Institute of Development Administration — Campus, Phuket (01208)"
01209,สถาบันบัณฑิตพัฒนบริหารศาสตร์ วิทยาเขตสุราษฎร์ธานี,"National Institute of Development Administration — Campus, Surat Thani (01209)"
01210,สถาบันบัณฑิตพัฒนบริหารศาสตร์ วิทยาเขตหาดใหญ่,"National Institute of Development Administration — Campus, Songkhla (01210)"
01211,สถาบันบัณฑิตพัฒนบริหารศาสตร์ วิทยาเขตยะลา,"National Institute of Development Administration — Campus, Yala (01211)"
01212,สถาบันบัณฑิตพัฒนบริหารศาสตร์ จังหวัดระยอง,"National Institute of Development Administration — Campus, Rayong (01212)"
01300,มหาวิทยาลัยแม่โจ้,Maejo University
01301,มหาวิทยาลัยแม่โจ้ - แพร่ ฉลิมพระเกียรติ,"Maejo University — Campus, Phrae (01301)"
01302,มหาวิทยาลัยแม่โจ้ - ชุมพร,"Maejo University — Campus, Chumphon (01302)"
01400,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี,King Mongkut's University of Technology Thonburi
01401,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี วิทยาเขตราชบุรี,"King Mongkut's University of Technology Thonburi — Campus, Ratchaburi (01401)"
01402,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี วิทยาเขตบางขุนเทียน,"King Mongkut's University of Technology Thonburi — Campus, Bangkok (01402)"
01500,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าพระนครเหนือ,King Mongkut's University of Technology North Bangkok
01501,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าพระนครเหนือ วิทยาเขตปราจีนบุรี,"King Mongkut's University of Technology North Bangkok — Campus, Prachin Buri (01501)"
01502,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าพระนครเหนือ วิทยาเขตระยอง,"King Mongkut's University of Technology North Bangkok — Campus, Rayong (01502)"
01600,สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง,King Mongkut's Institute of Technology Ladkrabang
